mnemonic,percent_deprived3
E05013038,6.8
E05013039,7.6
E05013040,2.4
E05013041,5.9
E05013042,1.6
E05013043,8.2
E05013044,8.9
E05013045,9.1
E05013046,0.7
E05013047,2
E05013048,5.1
E05013049,8.6
E05009853,1.6
E05009854,5.2
E05009855,9.6
E05009856,10.8
E05009857,8.9
E05009858,5.9
E05009859,8.3
E05009860,2.4
E05009861,4.6
E05009862,2.5
E05009863,8.2
E05009864,1.4
E05009865,1.4
E05009866,8.9
E05009867,9.7
E05009868,0.8
E05009869,4.8
E05009870,9.4
E05009871,1.5
E05009872,1.6
E05012437,1
E05012438,5.5
E05012439,6.7
E05012440,5.9
E05012441,7.2
E05012442,10
E05012443,5.4
E05012444,1.8
E05012445,7.7
E05012446,6.9
E05012447,5.8
E05012448,2.2
E05012449,4.2
E05012450,4.4
E05012451,4.1
E05012452,2.4
E05012453,3.7
E05012454,5.9
E05012455,5.9
E05012456,9.1
E05012457,5.8
E05012458,2.8
E05012459,1.1
E05012460,3
E05001527,6.1
E05001528,6.1
E05001529,1.9
E05001530,4.7
E05001531,1.3
E05001532,2.8
E05001533,2.2
E05001534,2
E05001535,2.3
E05001536,8.9
E05001537,0.7
E05001538,0.9
E05001539,0.8
E05001540,7.2
E05001541,7.9
E05001542,0.8
E05001543,5.4
E05001544,5.7
E05001545,1.3
E05001546,6.3
E05001547,7.7
E05001548,5
E05001549,9.8
E05001550,4
E05001551,2.9
E05001552,1.4
E05010412,6.5
E05010413,1.6
E05010414,5.7
E05010415,1.3
E05010416,4.4
E05010417,1.4
E05010418,3.4
E05010419,1.5
E05010420,0.7
E05010421,1.6
E05010422,0.4
E05010423,6.8
E05010424,7.2
E05010425,6.9
E05010426,1.3
E05010427,3.1
E05010428,5.5
E05010429,1.3
E05010430,5.5
E05010431,2.6
E05009030,6.2
E05009031,4.1
E05009032,2.5
E05009033,7.1
E05009034,2.3
E05009035,1.4
E05009036,3.8
E05009037,2.4
E05009038,4.7
E05009039,6.6
E05009040,6.3
E05009041,5.2
E05009042,3
E05009043,1.7
E05009044,2.9
E05009045,2.7
E05009046,4.8
E05009047,4.9
E05009048,5
