mnemonic,percent_deprived
E05013038,59.5
E05013039,64.4
E05013040,53.1
E05013041,60.9
E05013042,44.3
E05013043,62.7
E05013044,68.9
E05013045,66.1
E05013046,38.2
E05013047,46.8
E05013048,57
E05013049,65.2
E05009853,45.5
E05009854,58.1
E05009855,68
E05009856,68.3
E05009857,66.8
E05009858,56.3
E05009859,65.4
E05009860,50.5
E05009861,54.7
E05009862,50.7
E05009863,64.2
E05009864,42.2
E05009865,40.8
E05009866,69.6
E05009867,72.8
E05009868,37.4
E05009869,53.5
E05009870,68.7
E05009871,37.3
E05009872,44.3
E05012437,40.6
E05012438,59.2
E05012439,63.5
E05012440,62.4
E05012441,63.6
E05012442,72
E05012443,58.3
E05012444,40.9
E05012445,63.9
E05012446,62.4
E05012447,59.9
E05012448,47.4
E05012449,56.6
E05012450,51.8
E05012451,54.5
E05012452,53.4
E05012453,49.9
E05012454,55.1
E05012455,56.9
E05012456,61.9
E05012457,58.8
E05012458,52.8
E05012459,33.7
E05012460,53.5
E05001527,61.2
E05001528,62.6
E05001529,46.3
E05001530,57.4
E05001531,50.1
E05001532,53
E05001533,42.4
E05001534,49.4
E05001535,45.6
E05001536,64.7
E05001537,44.6
E05001538,36.4
E05001539,30.6
E05001540,62.2
E05001541,64.9
E05001542,30.9
E05001543,56.1
E05001544,57.6
E05001545,44.2
E05001546,57.7
E05001547,66.2
E05001548,62.9
E05001549,65.1
E05001550,55
E05001551,45.4
E05001552,38.9
E05010412,61.3
E05010413,42
E05010414,60.2
E05010415,36.9
E05010416,58.2
E05010417,44.6
E05010418,56.7
E05010419,38.7
E05010420,43.4
E05010421,44.7
E05010422,42.5
E05010423,61.2
E05010424,63.3
E05010425,60.3
E05010426,41.4
E05010427,48.6
E05010428,55.5
E05010429,39.9
E05010430,57.3
E05010431,51.3
E05009030,62.3
E05009031,60.1
E05009032,49
E05009033,63.8
E05009034,49.5
E05009035,47.6
E05009036,52.5
E05009037,46.3
E05009038,52.7
E05009039,59.5
E05009040,63.1
E05009041,53.6
E05009042,50.8
E05009043,46.6
E05009044,51.5
E05009045,49.4
E05009046,57.5
E05009047,54.5
E05009048,54.7
E05009049,51.3
E05009050,63.3
E05009051,52
E05009052,63.1
E05009053,56.1
E05009054,60.4
E05009055,57
E05009056,54.4
E05009057,67.1
E05009058,41.4
E05009059,60.9
E05009060,51.8
E05009061,50.8
E05009062,56.2
E05009063,60.2
E05009064,45.6
E05009065,71
E05009066,49.3
E05009067,54.8
E05009068,55
E05009069,59.5
E05009070,35.4
E05009071,38.1
E05009072,55.8
E05009073,52.2
E05009074,65.5
E05009075,59.4
E05009076,56.2
E05009077,47.8
E05009078,47.7
E05009079,55.1
E05009080,61.8
E05009081,60.2
E05009082,54.1
E05009083,64.6
E05009084,54.5
E05009085,59
E05009086,63.1
E05009087,53.2
E05009088,51.7
E05009089,54.7
E05009090,57.4
E05009091,57
E05009092,64.9
E05009093,50.7
E05009094,56.9
E05009095,46.9
E05009096,65.2
E05009097,51.9
E05009098,54
