mnemonic,percent_deprived2
E05013038,26.3
E05013039,31.1
E05013040,17
E05013041,26.4
E05013042,13.7
E05013043,28.6
E05013044,34.6
E05013045,31.8
E05013046,7.1
E05013047,13.8
E05013048,23.7
E05013049,30.9
E05009853,12.2
E05009854,23.3
E05009855,33.5
E05009856,34.6
E05009857,30.8
E05009858,24.2
E05009859,30.6
E05009860,17.1
E05009861,22.1
E05009862,15.4
E05009863,30.5
E05009864,10.9
E05009865,10.6
E05009866,31.3
E05009867,35.1
E05009868,7.5
E05009869,20.2
E05009870,33.4
E05009871,9
E05009872,12.3
E05012437,8.2
E05012438,23.4
E05012439,26.8
E05012440,26.9
E05012441,29.1
E05012442,37.1
E05012443,22.9
E05012444,10.3
E05012445,29.4
E05012446,25.4
E05012447,25.4
E05012448,15
E05012449,22
E05012450,19.5
E05012451,19.1
E05012452,17
E05012453,16.6
E05012454,22.1
E05012455,22.7
E05012456,29
E05012457,23.6
E05012458,17.2
E05012459,6.5
E05012460,19
E05001527,25.9
E05001528,28.1
E05001529,13.5
E05001530,23.4
E05001531,12.9
E05001532,17.1
E05001533,11.9
E05001534,15
E05001535,13.9
E05001536,32.5
E05001537,10.3
E05001538,7.6
E05001539,5.4
E05001540,27.8
E05001541,30.1
E05001542,6.6
E05001543,23.9
E05001544,23.1
E05001545,12.3
E05001546,24.5
E05001547,31.8
E05001548,26.2
E05001549,33.8
E05001550,19.7
E05001551,15.1
E05001552,9.8
E05010412,25
E05010413,11.2
E05010414,24.8
E05010415,8.1
E05010416,20.6
E05010417,11.4
E05010418,21
E05010419,10
E05010420,10.2
E05010421,11.2
E05010422,9.4
E05010423,25.7
E05010424,27.4
E05010425,27.8
E05010426,10.9
E05010427,16.6
E05010428,21.7
E05010429,9.6
E05010430,22.6
E05010431,15.5
E05009030,27.9
E05009031,24.4
E05009032,16.2
E05009033,27.9
E05009034,15.3
E05009035,12.4
E05009036,18.6
E05009037,13.4
E05009038,19.3
E05009039,25.7
E05009040,27.9
E05009041,21.8
E05009042,17.5
E05009043,13.4
E05009044,18.7
E05009045,16.3
E05009046,23.9
E05009047,21.1
E05009048,22
E05009049,19.5
E05009050,28.9
E05009051,20.2
E05009052,29.3
E05009053,23.7
E05009054,26.4
E05009055,23.1
E05009056,20.7
E05009057,32.2
E05009058,11.7
E05009059,26.5
E05009060,14.9
E05009061,17.5
E05009062,19.7
E05009063,24.6
E05009064,13.6
E05009065,36
E05009066,15.1
E05009067,20.2
E05009068,19.9
E05009069,25.1
E05009070,6.1
E05009071,9.4
E05009072,21.8
E05009073,18.8
E05009074,32
E05009075,25.7
E05009076,23.9
E05009077,15.3
E05009078,14.1
E05009079,20.6
E05009080,26.7
E05009081,26.3
E05009082,21.8
E05009083,29.5
E05009084,19.5
E05009085,24
E05009086,28.2
E05009087,21.9
E05009088,17
E05009089,21.3
E05009090,23.5
E05009091,24.6
E05009092,30
E05009093,14.4
E05009094,23.6
E05009095,11.9
E05009096,28.2
E05009097,15.5
E05009098,18.8
E05009099,25.1
E05009100,13.1
E05009101,13.7
E05009102,22.1
E05009103,19.6
E05009104,17.1
E05009106,11.9
E05009107,25.4
E05009108,26.5
E05009109,10.8
E05009110,28.9
E05009111,29.1
E05009112,15.5
E05009113,6.3
E05009114,15.8
E05009115,18
E05009116,18.2
E05009117,30.9
E05009118,20.2
E05009119,18.7
E05009120,15.6
E05009121,17.2
E05009122,13.4
E05009123,15.9
E05009124,16.4
E05009125,7.1
E05009126,32.4
E05009127,20.8
E05009128,11.8
E05009129,29.5
E05009130,21.8
E05009131,8.9
E05009132,11.3
E05009133,21
E05009134,12.1
E05009135,11.9
E05009136,14.9
E05009137,28.6
E05009139,14.9
E05009141,18.8
E05009142,7.3
E05009143,9.7
E05009144,7.3
E05009145,8.2
E05009146,14.4
E05009147,20.4
E05009148,13.6
E05009149,19.2
E05009151,13.2
E05009152,24.2
E05009153,9.8
E05009154,10.4
E05009155,19.3
E05009156,8.1
E05009157,20.8
E05009158,15.1
E05013270,21.7
E05013271,22.3
E05013862,17.7
E05013863,15.3
E05011436,28.1
E05011437,25.9
E05011438,29.4
E05011439,31.7
E05011440,20.1
E05011441,12.7
E05011442,12.9
E05011443,8.8
E05011444,26.8
E05011445,36.6
E05011446,20.8
E05011447,8.4
E05011448,13.8
E05011449,26.1
E05011450,26.6
E05011451,20.1
E05011452,13.6
E05011453,15.2
E05011454,9.8
E05011455,20.5
E05011456,9.2
E05011457,11.5
E05011458,35.1
E05011459,25.4
E05011460,22.3
E05011461,22.2
E05001115,18.3
E05001116,16.3
E05001117,20
E05001118,27.1
E05001119,19.9
E05001120,15.3
E05001121,27.1
E05001122,15.8
E05001123,21.2
E05001124,8.9
E05001125,15
E05001126,17.7
E05001127,13.1
E05001128,26.9
E05001129,8
E05001130,14.1
E05001131,15.7
E05001132,22.7
