mnemonic,percent_nonwhite
E05013038,5.2
E05013039,2.5
E05013040,1.2
E05013041,3.8
E05013042,1.8
E05013043,3.3
E05013044,2.9
E05013045,2
E05013046,4.5
E05013047,1.7
E05013048,2.6
E05013049,10.8
E05009853,16.2
E05009854,17.8
E05009855,5.9
E05009856,5.2
E05009857,55.3
E05009858,3.7
E05009859,2.9
E05009860,15
E05009861,9
E05009862,33.7
E05009863,16.2
E05009864,9.2
E05009865,4.9
E05009866,40.2
E05009867,25.7
E05009868,7.3
E05009869,30.3
E05009870,4
E05009871,3.7
E05009872,5.8
E05012437,1.4
E05012438,1.3
E05012439,4.5
E05012440,2
E05012441,2.4
E05012442,3.2
E05012443,2.1
E05012444,1.6
E05012445,2.5
E05012446,0.9
E05012447,1.1
E05012448,1.4
E05012449,2.1
E05012450,1.7
E05012451,3.2
E05012452,1.1
E05012453,2.5
E05012454,1.6
E05012455,1.1
E05012456,10.1
E05012457,1.4
E05012458,1.7
E05012459,1.7
E05012460,1.9
E05001527,2.3
E05001528,2.2
E05001529,1.6
E05001530,2.6
E05001531,1.3
E05001532,3.8
E05001533,5.5
E05001534,3.9
E05001535,8.3
E05001536,6.6
E05001537,3.8
E05001538,10.2
E05001539,10.4
E05001540,14.4
E05001541,11.5
E05001542,10.8
E05001543,4.1
E05001544,3.6
E05001545,2.1
E05001546,26.7
E05001547,3.9
E05001548,3.3
E05001549,25.3
E05001550,8.1
E05001551,3.6
E05001552,7.5
E05010412,5
E05010413,4.9
E05010414,3.3
E05010415,6.9
E05010416,5.5
E05010417,3.1
E05010418,3.5
E05010419,1.9
E05010420,5.3
E05010421,2.6
E05010422,5.5
E05010423,5.1
E05010424,23.2
E05010425,7.6
E05010426,4.8
E05010427,9.1
E05010428,4.8
E05010429,3.3
E05010430,7.4
E05010431,3.1
E05009030,2.4
E05009031,1.6
E05009032,2.6
E05009033,1.9
E05009034,1.7
E05009035,2.7
E05009036,7.4
E05009037,2.1
E05009038,2.7
E05009039,2
E05009040,2
E05009041,4.4
E05009042,1.9
E05009043,2.2
E05009044,2
E05009045,3.1
E05009046,2.7
E05009047,1.3
E05009048,1.6
E05009049,3
E05009050,1.5
E05009051,3.5
E05009052,2.5
E05009053,1.7
E05009054,2.7
E05009055,3.1
E05009056,1.7
E05009057,1.7
E05009058,5.5
E05009059,1.5
E05009060,19.7
E05009061,2.1
E05009062,1.3
E05009063,1.9
E05009064,8.6
E05009065,1.9
E05009066,2
E05009067,1.4
E05009068,2
E05009069,1.9
E05009070,16.6
E05009071,3.5
E05009072,2.3
E05009073,2.3
E05009074,1.4
E05009075,1.6
E05009076,3.4
E05009077,2.1
E05009078,2.1
E05009079,1.8
E05009080,1.8
E05009081,2.3
E05009082,1.6
E05009083,1.6
E05009084,1.9
E05009085,1.2
E05009086,1.7
E05009087,2.8
E05009088,1.5
E05009089,2.9
E05009090,2.1
E05009091,1.1
E05009092,2.4
E05009093,1.8
E05009094,1.3
E05009095,0.9
E05009096,3.1
E05009097,0.9
E05009098,1.5
E05009099,2.4
E05009100,2.2
E05009101,0.9
E05009102,2.2
E05009103,2.4
E05009104,1.9
E05009106,2.3
E05009107,1.9
E05009108,2.7
E05009109,1.5
E05009110,2.3
