mnemonic,percent_fuel
E05013038,1.3
E05013039,0.9
E05013040,0.8
E05013041,1.2
E05013042,1.8
E05013043,1.2
E05013044,0.8
E05013045,1.3
E05013046,3
E05013047,0.5
E05013048,0.6
E05013049,1.5
E05009853,0.8
E05009854,1.1
E05009855,1.1
E05009856,1.4
E05009857,2.5
E05009858,1
E05009859,0.6
E05009860,0.5
E05009861,1.1
E05009862,1.7
E05009863,1.3
E05009864,0.7
E05009865,0.3
E05009866,2.6
E05009867,3.1
E05009868,0.8
E05009869,1.7
E05009870,1.2
E05009871,1.3
E05009872,1
E05012437,0.9
E05012438,2.3
E05012439,2.7
E05012440,0.9
E05012441,1.6
E05012442,1.4
E05012443,3.8
E05012444,3.7
E05012445,1.9
E05012446,21.5
E05012447,7.9
E05012448,1.3
E05012449,0.8
E05012450,1
E05012451,1
E05012452,0.9
E05012453,1.6
E05012454,1.6
E05012455,2
E05012456,1.8
E05012457,0.9
E05012458,1
E05012459,0.7
E05012460,1.6
E05001527,0.8
E05001528,1.1
E05001529,0.9
E05001530,1.2
E05001531,0.4
E05001532,1
E05001533,2
E05001534,1
E05001535,1
E05001536,0.7
E05001537,0.9
E05001538,1.6
E05001539,0.8
E05001540,1.1
E05001541,1.3
E05001542,1.8
E05001543,1.3
E05001544,1.4
E05001545,0.9
E05001546,1.6
E05001547,1.2
E05001548,1.1
E05001549,2.1
E05001550,0.7
E05001551,10.4
E05001552,2.2
E05010412,1.3
E05010413,0.5
E05010414,1
E05010415,0.9
E05010416,1.1
E05010417,1
E05010418,1.1
E05010419,17.4
E05010420,0.7
E05010421,5.7
E05010422,0.4
E05010423,1.8
E05010424,2.5
E05010425,2.1
E05010426,1.3
E05010427,2
E05010428,0.7
E05010429,8.2
E05010430,1.4
E05010431,1.2
E05009030,2
E05009031,1
E05009032,1
E05009033,1.2
E05009034,16
E05009035,24.4
E05009036,1.2
E05009037,1.2
E05009038,1.7
E05009039,2.9
E05009040,7.2
E05009041,1.5
E05009042,2.1
E05009043,0.7
E05009044,0.6
E05009045,1.1
E05009046,0.7
E05009047,4
E05009048,1
E05009049,1.2
E05009050,5.3
E05009051,3.4
E05009052,2.4
E05009053,5.6
E05009054,1.3
E05009055,5.9
E05009056,1.8
E05009057,1.2
E05009058,2.4
E05009059,3
E05009060,1.7
E05009061,11.4
E05009062,31.4
E05009063,2.5
E05009064,1.2
E05009065,2.5
E05009066,6.3
E05009067,2.5
E05009068,2.1
E05009069,2.4
E05009070,1.3
E05009071,1.9
E05009072,0.7
E05009073,1.8
E05009074,1.6
E05009075,0.9
E05009076,3.4
E05009077,1.4
E05009078,5.6
E05009079,3.1
E05009080,2.5
E05009081,3.9
E05009082,1.8
E05009083,1.8
E05009084,1.9
E05009085,9.9
E05009086,3.1
E05009087,1.7
E05009088,26.2
E05009089,1.8
E05009090,3.7
E05009091,3.2
E05009092,1.4
E05009093,4.8
E05009094,6
E05009095,7.9
E05009096,2.9
E05009097,27.9
E05009098,1.9
E05009099,2.2
E05009100,2.1
E05009101,53.6
E05009102,2.5
E05009103,4.3
E05009104,5.9
E05009106,17.9
E05009107,2
E05009108,1.8
E05009109,7.8
E05009110,1.7
E05009111,1.7
E05009112,1.3
E05009113,1.8
E05009114,2.4
E05009115,2.1
E05009116,1.8
E05009117,2.1
E05009118,6
E05009119,14.8
E05009120,1.6
E05009121,2.2
E05009122,51.3
E05009123,3.5
E05009124,1.8
E05009125,5.2
E05009126,2.7
E05009127,1.7
E05009128,56.2
E05009129,1.7
E05009130,1.5
E05009131,37
E05009132,38.3
E05009133,8.1
E05009134,1.7
E05009135,2.6
E05009136,1.8
E05009137,3.1
E05009139,46.7
E05009141,1.8
E05009142,11.9
E05009143,11.7
E05009144,4.7
E05009145,32.3
E05009146,2.1
E05009147,1.3
E05009148,32.8
E05009149,1.9
E05009151,27.5
E05009152,4.7
E05009153,1.2
E05009154,50
E05009155,2.5
E05009156,7.9
E05009157,1.3
E05009158,26.8
E05013270,2.3
E05013271,2.1
E05013862,2.7
E05013863,10.4
E05011436,2.2
E05011437,1.2
E05011438,1.6
E05011439,1.8
E05011440,1.7
E05011441,0.9
E05011442,0.5
E05011443,0.9
E05011444,0.6
E05011445,3.1
E05011446,1.3
E05011447,0.9
E05011448,1.1
E05011449,1
E05011450,0.6
E05011451,1.1
E05011452,0.9
E05011453,3.4
E05011454,1
E05011455,1.8
E05011456,0.9
E05011457,1
E05011458,1.3
E05011459,1.4
E05011460,0.9
E05011461,1.1
E05001115,0.7
E05001116,0.7
E05001117,1.1
E05001118,1.1
E05001119,0.6
E05001120,0.8
E05001121,1
E05001122,1
E05001123,0.8
E05001124,0.4
E05001125,0.6
E05001126,0.9
E05001127,1
E05001128,1.4
E05001129,0.7
E05001130,1.2
E05001131,0.7
E05001132,1.3
E05001133,0.8
E05001134,1
E05001135,1.1
E05001136,0.9
E05001137,0.9
E05001138,1.3
E05001139,0.6
E05001140,0.8
E05001141,1.2
E05001142,0.6
E05001143,0.9
E05001144,0.5
E05001145,0.8
E05001146,1.1
E05001147,0.8
E05001148,1.3
E05001149,1
E05001150,1.1
E05001151,0.9
E05001152,0.9
E05001153,0.6
E05001154,0.9
E05001155,1.4
E05001156,1
E05001157,0.5
E05001158,1.8
E05001159,2
E05001160,1.3
E05001161,1.3
E05001162,1.3
E05001163,1.2
E05001164,0.8
E05001165,0.9
E05001166,1
E05001167,0.7
E05001168,1.2
E05001169,0.8
E05001170,2.1
E05001171,1
E05001172,1.2
E05001173,0.8
E05001174,0.6
E05001175,0.7
E05001176,0.6
E05001177,0.8
E05001067,1.1
E05001068,1
E05001069,2.3
E05001071,0.7
E05001072,1.5
E05001073,1.4
E05001074,1.3
E05001075,0.7
E05001076,0.9
E05001077,1.2
E05001078,1.7
E05001079,1
E05001080,1
E05001081,1.2
E05001082,0.8
E05001083,1.4
E05001084,0.7
E05001085,0.6
E05001086,0.8
E05001087,1
E05001088,2.8
E05009313,2.8
E05013169,2.2
E05013170,1.5
E05013171,1.2
E05013172,0.7
E05013173,2.5
E05013174,2.4
E05013175,4
E05013176,1.9
E05013177,0.9
E05013178,1.2
E05013179,1.2
E05013180,1.1
E05013181,2.3
E05013182,1.6
E05013183,2
E05013184,2.3
E05013185,1.2
E05013186,2
E05011024,2
E05011025,2.1
E05011026,1.3
E05011027,3.7
E05011028,0.5
E05011029,2.7
E05011030,1.8
E05011031,1.8
E05011032,0.8
E05011033,1.1
E05011034,1.7
E05011035,1.8
E05011036,1.3
E05011037,2
E05011038,1.5
E05011039,1.2
E05011040,1.4
E05011041,0.8
E05011042,1.2
E05011043,2.8
E05011044,1.1
E05011045,1
E05011508,1.5
E05011509,1.6
E05011510,1.2
E05011511,2.7
E05011512,1.2
E05011513,1.4
E05011514,2.4
E05011515,2
E05011516,4.4
E05011517,2.2
E05011518,2.3
E05011519,1.7
E05011520,2.9
E05011521,1.5
E05011522,1.7
E05011523,3
E05011524,6
E05001643,1.7
E05001644,2
E05001645,4.3
E05001646,2.1
E05001647,4.2
E05001648,2
E05001649,1.1
E05001650,3.5
E05001651,1.6
E05001652,2
E05001653,2.4
E05001654,2.3
E05001655,1.2
E05001656,1.3
E05001657,3.4
E05001658,2.2
E05001659,4.5
E05001660,2.6
E05001661,2.6
E05001662,2.2
E05001663,3.5
E05008610,1.3
E05008611,1.5
E05008612,49.1
E05008613,2.7
E05008614,28.7
E05008615,1.1
E05008616,36.1
E05008617,17.8
E05008618,2.6
E05008619,1.7
E05008620,2.6
E05008621,2.4
E05008622,3.3
E05008623,2.3
E05008624,2.7
E05008625,2.6
E05008626,5.3
E05008627,2.5
E05008628,28.3
E05008629,2
E05008630,6
E05008631,16.5
