IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
081754-08062023,08-Jun-23,2023,08:06:47,8,Fire,Primary Fire,,Dwelling,House - single occupancy ,Within same building,,E12,0,22208157,E09000025,NEWHAM,Newham,,,,NULL,NULL,541850,184850,NULL,NULL,London,Stratford,390,East Ham,NULL,,1,1,1,60,388,4
090549-21062023,21-Jun-23,2023,11:11:57,11,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,E12,0,22208082,E09000025,NEWHAM,Newham,,,,NULL,NULL,542850,185950,NULL,NULL,London,Ilford,247,Ilford,NULL,,1,1,1,60,388,1
132457-30082023,30-Aug-23,2023,20:59:20,20,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E12,0,22200267,E09000025,NEWHAM,Newham,,,,NULL,NULL,542550,185350,NULL,NULL,London,Stratford,330,Ilford,379,Stratford,2,2,5,550,3557,2
137001-07092023,07-Sep-23,2023,02:52:00,2,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,E7,0,22207642,E09000025,NEWHAM,Newham,,,,NULL,NULL,541350,185950,NULL,NULL,London,Stratford,379,Stratford,NULL,,1,1,1,60,388,1
139581-10092023,10-Sep-23,2023,13:58:06,13,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E12,0,22200275,E09000025,NEWHAM,Newham,,,,NULL,NULL,543150,185750,NULL,NULL,London,Ilford,247,Tottenham,355,Ilford,5,6,6,115,744,2
149685-27092023,27-Sep-23,2023,05:15:39,5,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E12,0,22200266,E09000025,NEWHAM,Newham,,,,NULL,NULL,542350,185850,NULL,NULL,London,Ilford,294,Ilford,330,Stratford,2,2,2,106,685,2
154421-05102023,05-Oct-23,2023,04:17:04,4,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,E12,0,22200278,E09000025,NEWHAM,Newham,,,,NULL,NULL,543050,185950,NULL,NULL,London,Ilford,391,Stratford,959,Ilford,2,2,4,717,4637,3
161762-17102023,17-Oct-23,2023,05:15:33,5,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,E12,0,22208082,E09000025,NEWHAM,Newham,,,,NULL,NULL,542850,185950,NULL,NULL,London,Ilford,266,Stratford,291,Ilford,3,3,5,563,3641,2
167559-27102023,27-Oct-23,2023,01:02:55,1,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,E12,0,22208082,E09000025,NEWHAM,Newham,,,,NULL,NULL,542950,186050,NULL,NULL,London,Ilford,263,Ilford,354,East Ham,2,2,2,60,388,1
182283-20112023,20-Nov-23,2023,21:20:37,21,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E12,0,22200170,E09000025,NEWHAM,Newham,,,,NULL,NULL,542350,185550,NULL,NULL,London,Stratford,674,Woodford,967,Leytonstone,2,2,2,75,485,1
190928-05122023,05-Dec-23,2023,08:35:42,8,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,E12,0,22200157,E09000025,NEWHAM,Newham,,,,NULL,NULL,542950,185850,NULL,NULL,London,Ilford,398,Ilford,421,Ilford,1,2,2,60,388,1
022713-08022024,08-Feb-24,2024,12:21:42,12,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E12,0,22200209,E09000025,NEWHAM,Newham,,,,NULL,NULL,542350,185350,NULL,NULL,London,Stratford,224,Stratford,424,Ilford,2,2,2,60,388,1
040699-12032024,12-Mar-24,2024,11:53:07,11,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,E12,0,22208087,E09000025,NEWHAM,Newham,,,,NULL,NULL,542050,185450,NULL,NULL,London,Stratford,433,Stratford,NULL,,1,1,1,60,388,1
042543-15032024,15-Mar-24,2024,20:46:06,20,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,E12,0,22200141,E09000025,NEWHAM,Newham,,,,NULL,NULL,542550,185250,NULL,NULL,London,East Ham,531,Plaistow,NULL,,1,1,1,60,388,1
062847-21042024,21-Apr-24,2024,02:17:34,2,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,E12,0,22200197,E09000025,NEWHAM,Newham,,,,NULL,NULL,543250,185150,NULL,NULL,London,East Ham,356,Ilford,365,Ilford,1,2,3,108,774,1
088847-04062024,04-Jun-24,2024,21:52:14,21,Fire,Primary Fire,,Dwelling,Unlicensed House in Multiple Occupation - 3 or more storeys ,Correct incident location,,E12,0,22200245,E09000025,NEWHAM,Newham,,,,NULL,NULL,542950,184850,NULL,NULL,London,East Ham,313,East Ham,440,Stratford,3,3,5,487,3490,2
092028-09062024,09-Jun-24,2024,21:57:10,21,Fire,Primary Fire,,Dwelling,House - single occupancy ,Within same building,,E12,0,22200245,E09000025,NEWHAM,Newham,,,,NULL,NULL,542950,184850,NULL,NULL,London,East Ham,368,Ilford,472,Plaistow,2,2,2,60,430,1
100264-22062024,22-Jun-24,2024,21:28:49,21,Fire,Late Call,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,E12,0,22200183,E09000025,NEWHAM,Newham,,,,NULL,NULL,543150,186050,NULL,NULL,London,Ilford,306,Ilford,NULL,,1,1,1,81,581,2
102522-26062024,26-Jun-24,2024,04:07:20,4,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E12,0,22200128,E09000025,NEWHAM,Newham,,,,NULL,NULL,541950,185250,NULL,NULL,London,East Ham,474,East Ham,NULL,,1,1,1,60,430,1
106090-01072024,01-Jul-24,2024,00:24:38,0,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E12,0,22200154,E09000025,NEWHAM,Newham,,,,NULL,NULL,542950,186150,NULL,NULL,London,Ilford,303,Ilford,288,Stratford,3,4,4,407,2917,6
150804-07092024,07-Sep-24,2024,16:42:27,16,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E12,0,22200139,E09000025,NEWHAM,Newham,,,,NULL,NULL,542850,185050,NULL,NULL,London,East Ham,566,Stratford,NULL,,1,1,1,60,430,2
154685-13092024,13-Sep-24,2024,16:34:38,16,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E7,0,22200495,E09000025,NEWHAM,Newham,,,,NULL,NULL,541750,184750,NULL,NULL,London,East Ham,325,Stratford,492,Leytonstone,2,2,2,60,430,1
169427-06102024,06-Oct-24,2024,15:46:57,15,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E12,0,22200275,E09000025,NEWHAM,Newham,,,,NULL,NULL,543150,185950,NULL,NULL,London,Ilford,362,Ilford,406,Ilford,1,2,2,60,430,3
177171-19102024,19-Oct-24,2024,02:17:42,2,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,E12,0,22200242,E09000025,NEWHAM,Newham,,,,NULL,NULL,542450,185550,NULL,NULL,London,Stratford,344,Stratford,NULL,,1,1,1,60,430,1
177187-19102024,19-Oct-24,2024,03:14:34,3,Fire,Primary Fire,,Dwelling,House in Multiple Occupation - Up to 2 storeys (not known if licensed) ,Correct incident location,,E12,0,22200242,E09000025,NEWHAM,Newham,,,,NULL,NULL,542450,185550,NULL,NULL,London,Stratford,281,Stratford,331,East Ham,2,2,2,120,860,1
185536-01112024,01-Nov-24,2024,18:24:47,18,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E12,0,22200135,E09000025,NEWHAM,Newham,,,,NULL,NULL,541850,185550,NULL,NULL,London,Stratford,294,Stratford,415,East Ham,2,2,2,60,430,2
