mnemonic,percent_crowded
E05013038,3.8
E05013039,4.3
E05013040,1.3
E05013041,2.1
E05013042,1.2
E05013043,4.7
E05013044,4.3
E05013045,5.1
E05013046,0.9
E05013047,2
E05013048,1.9
E05013049,5.2
E05009853,1.8
E05009854,3.7
E05009855,5.6
E05009856,5.5
E05009857,10.6
E05009858,3
E05009859,3.2
E05009860,2.6
E05009861,2.3
E05009862,3.9
E05009863,4.1
E05009864,2
E05009865,1.7
E05009866,8.6
E05009867,6.2
E05009868,1.3
E05009869,4
E05009870,2.7
E05009871,1.1
E05009872,1.6
E05012437,1.1
E05012438,3.1
E05012439,3.4
E05012440,2.9
E05012441,3.6
E05012442,4.8
E05012443,3.1
E05012444,1.5
E05012445,3.4
E05012446,2.3
E05012447,2.5
E05012448,0.7
E05012449,2.2
E05012450,2
E05012451,2.5
E05012452,1
E05012453,1.8
E05012454,2.6
E05012455,2.1
E05012456,3.2
E05012457,3.4
E05012458,1.5
E05012459,1.4
E05012460,1.3
E05001527,3.7
E05001528,3.1
E05001529,1.2
E05001530,1.8
E05001531,0.5
E05001532,1.7
E05001533,2
E05001534,1.6
E05001535,1.5
E05001536,4.7
E05001537,1
E05001538,1.4
E05001539,0.8
E05001540,4.8
E05001541,6
E05001542,1.2
E05001543,3.8
E05001544,3.5
E05001545,1.2
E05001546,7.7
E05001547,4.1
E05001548,3.5
E05001549,5.7
E05001550,3.6
E05001551,2.7
E05001552,1.4
E05010412,2.8
E05010413,1.3
E05010414,3.3
E05010415,1.8
E05010416,3.6
E05010417,2.2
E05010418,1.8
E05010419,1.1
E05010420,0.5
E05010421,1.6
E05010422,0.4
E05010423,4.4
E05010424,5.4
E05010425,4.1
E05010426,1.3
E05010427,2.4
E05010428,3.2
E05010429,1.7
E05010430,3.7
E05010431,2
E05009030,2.7
E05009031,1.7
E05009032,1.6
E05009033,2.4
E05009034,1.6
E05009035,1.5
E05009036,2.7
E05009037,1.4
E05009038,2.2
E05009039,2
E05009040,2.6
E05009041,2.7
E05009042,2.1
E05009043,1.2
E05009044,2.3
E05009045,1.6
E05009046,2.1
E05009047,2.3
E05009048,2.7
E05009049,2.5
E05009050,3.7
E05009051,2.4
E05009052,3.2
E05009053,2.5
E05009054,3.5
E05009055,2.8
E05009056,2.1
E05009057,4.8
E05009058,1.1
E05009059,2.2
E05009060,15.2
E05009061,2.5
E05009062,2.3
E05009063,3.8
E05009064,1.8
E05009065,3.5
E05009066,1.4
E05009067,1.9
E05009068,2.2
E05009069,2.5
E05009070,5.1
E05009071,1.2
E05009072,2.4
E05009073,2
E05009074,3.2
E05009075,2.6
E05009076,3.3
E05009077,3.2
E05009078,1.9
E05009079,2.7
E05009080,3.3
E05009081,3.4
E05009082,2.1
E05009083,2.5
E05009084,2.6
E05009085,3.5
E05009086,3.2
E05009087,2.5
E05009088,1.9
E05009089,2.4
E05009090,2.7
E05009091,2.5
E05009092,4.1
E05009093,2.7
E05009094,3.5
E05009095,1.2
E05009096,3.4
E05009097,1.5
E05009098,1.5
E05009099,2.7
E05009100,1.9
E05009101,2.1
E05009102,5
E05009103,3.5
E05009104,2.2
E05009106,2.5
E05009107,2.9
E05009108,3.2
E05009109,1.1
E05009110,4.7
E05009111,4.8
E05009112,2.1
E05009113,0.8
E05009114,1.3
E05009115,2.2
E05009116,2.6
E05009117,3.9
E05009118,1.6
E05009119,2.6
E05009120,1.3
E05009121,1.9
E05009122,1.6
E05009123,2.2
E05009124,2.7
E05009125,0.7
E05009126,7
E05009127,2.3
E05009128,1.9
E05009129,2.5
E05009130,3.8
E05009131,1.3
E05009132,1.2
E05009133,2.7
E05009134,1.7
E05009135,1.3
E05009136,1.2
E05009137,4.7
E05009139,1.9
E05009141,2
E05009142,1.2
E05009143,1.7
E05009144,0.9
E05009145,1.1
E05009146,2.7
E05009147,3.9
E05009148,1.3
E05009149,2.6
E05009151,2
E05009152,2.7
E05009153,0.6
E05009154,2.2
E05009155,2.6
E05009156,1.5
E05009157,2.6
E05009158,1.3
E05013270,3.4
E05013271,1.7
E05013862,1.4
E05013863,4.1
E05011436,11.1
E05011437,6.3
E05011438,4.6
E05011439,6.4
E05011440,2.3
E05011441,1.8
E05011442,0.8
E05011443,1.5
E05011444,3.1
E05011445,12.9
E05011446,3.8
E05011447,1.6
E05011448,6.5
E05011449,5.3
E05011450,3.3
E05011451,3.1
E05011452,2
E05011453,9.7
E05011454,14.8
E05011455,7.5
E05011456,1.5
E05011457,11.2
E05011458,4.9
E05011459,4.1
E05011460,4.3
E05011461,8.5
E05001115,2.1
E05001116,2.4
E05001117,2.4
E05001118,4.8
E05001119,3.1
E05001120,1.9
E05001121,4.3
E05001122,2
E05001123,1.9
E05001124,1.8
E05001125,2.3
E05001126,2.8
E05001127,1.9
E05001128,3.7
E05001129,0.6
E05001130,3.2
E05001131,2.3
E05001132,3.4
E05001133,1.8
E05001134,2.1
E05001135,5.8
E05001136,3.1
E05001137,5.7
E05001138,3.1
E05001139,1
E05001140,2.9
E05001141,2.8
E05001142,2.5
E05001143,3.3
E05001144,2.5
E05001145,2.2
E05001146,2.4
E05001147,2.9
E05001148,5.1
E05001149,2.3
E05001150,3.4
E05001151,2
E05001152,2.8
E05001153,3.4
E05001154,4.2
E05001155,2.6
E05001156,2.2
E05001157,1.6
E05001158,8.5
E05001159,2.8
E05001160,3.2
E05001161,6.1
E05001162,3.9
E05001163,4.1
E05001164,3.7
E05001165,4.7
E05001166,2.6
E05001167,3.4
E05001168,2.7
E05001169,4.6
E05001170,2.5
E05001171,3.7
E05001172,4.8
E05001173,2.2
E05001174,1.7
E05001175,3.5
E05001176,1.7
E05001177,1.8
E05001067,3
E05001068,2.5
E05001069,5.8
E05001071,3
E05001072,3.3
E05001073,5.6
E05001074,3.4
E05001075,2
E05001076,5.7
E05001077,5.1
E05001078,3.3
E05001079,5.2
E05001080,1.9
E05001081,3.3
E05001082,2.6
E05001083,5.6
E05001084,3.3
E05001085,2.9
E05001086,1.8
E05001087,3.1
E05001088,2.4
E05009313,3.2
E05013169,3.9
E05013170,3.7
E05013171,1.2
E05013172,0.9
E05013173,2.8
E05013174,7.4
E05013175,0.5
E05013176,3.9
E05013177,1.5
E05013178,3.6
E05013179,2.5
E05013180,3.9
E05013181,4
E05013182,1.7
E05013183,3.4
E05013184,2.8
E05013185,3.4
E05013186,2.9
E05011024,1.1
E05011025,8
E05011026,3.2
E05011027,1.5
E05011028,1.9
E05011029,1.5
E05011030,4.9
E05011031,0.7
E05011032,1
E05011033,2.5
E05011034,5
E05011035,3.6
E05011036,2
E05011037,1.3
E05011038,5.8
E05011039,1.5
E05011040,5.1
E05011041,2.1
E05011042,1.4
E05011043,1.8
E05011044,1
E05011045,2.4
E05011508,17.3
E05011509,20.7
E05011510,8.3
E05011511,12.2
E05011512,2.9
E05011513,7.8
E05011514,7
E05011515,4.2
E05011516,4.4
E05011517,5.6
E05011518,13.2
E05011519,2
E05011520,6.2
E05011521,7
E05011522,17.5
E05011523,15.1
E05011524,2.9
E05001643,1.8
E05001644,2.6
E05001645,7.2
E05001646,3.7
E05001647,6.5
E05001648,3.1
E05001649,2.1
E05001650,3.1
E05001651,1.9
E05001652,2.2
E05001653,3.4
E05001654,1.8
E05001655,1.3
E05001656,5.4
E05001657,2.4
E05001658,1.3
E05001659,8.3
E05001660,3.4
E05001661,3.9
E05001662,5.2
E05001663,5.2
E05008610,0.9
E05008611,1.4
E05008612,1.3
E05008613,1.5
E05008614,1.8
E05008615,2
E05008616,1.2
E05008617,1.1
E05008618,2.5
E05008619,2.1
E05008620,7.4
E05008621,3.5
E05008622,4.9
E05008623,8.1
E05008624,8.2
E05008625,5.1
E05008626,1.1
E05008627,1.7
E05008628,2.1
E05008629,3.6
E05008630,0.9
E05008631,1.3
E05008632,1.3
E05008633,1.5
E05008634,3.7
E05008635,1.9
E05008636,2.9
E05008637,3.4
E05008638,1.2
E05008639,3.4
E05008640,2.8
E05008641,1.3
E05008642,2.4
E05008643,1
E05008644,1.7
E05008645,0.9
E05008646,1.2
E05008647,0.7
E05008648,1.7
E05008649,2.4
E05008650,1.4
E05008651,0.8
E05008652,1.1
E05008653,1.8
E05008654,1.1
E05008655,5.5
E05008656,1.4
E05008657,4.2
E05008658,1.9
E05008659,1.3
E05008660,1.7
E05008661,1.1
E05012209,4.8
E05012210,3.8
E05012211,5.5
E05012212,1.7
E05012213,1.5
E05012214,1.1
E05012215,1.8
E05012216,2.2
E05012217,1.7
E05012218,1.3
E05012219,2
E05012220,1.5
E05012221,5.3
E05012222,0.8
E05012223,1.4
