mnemonic,percent_1parent
E05013038,8
E05013039,15.3
E05013040,4.9
E05013041,9.7
E05013042,6.7
E05013043,8.4
E05013044,16.5
E05013045,12.8
E05013046,3
E05013047,5.2
E05013048,12
E05013049,9.1
E05009853,6.4
E05009854,12.5
E05009855,20.1
E05009856,19.4
E05009857,6.7
E05009858,7.6
E05009859,12.5
E05009860,3.9
E05009861,10.4
E05009862,6.7
E05009863,14.8
E05009864,5.5
E05009865,3.8
E05009866,12
E05009867,11.7
E05009868,3
E05009869,8.5
E05009870,15.5
E05009871,3.5
E05009872,5.9
E05012437,4.8
E05012438,8.7
E05012439,7.2
E05012440,10.8
E05012441,12.4
E05012442,19.2
E05012443,8.7
E05012444,5.8
E05012445,9.6
E05012446,8.4
E05012447,7.2
E05012448,5.7
E05012449,11.3
E05012450,7.3
E05012451,7.5
E05012452,4.5
E05012453,6
E05012454,7.4
E05012455,7.7
E05012456,13.3
E05012457,7
E05012458,5.5
E05012459,6.3
E05012460,7.6
E05001527,10.1
E05001528,13.2
E05001529,4.9
E05001530,9
E05001531,3.1
E05001532,5.3
E05001533,5.9
E05001534,4.9
E05001535,5.6
E05001536,15.4
E05001537,3.6
E05001538,7.2
E05001539,7.1
E05001540,11.8
E05001541,13.9
E05001542,3.7
E05001543,9.2
E05001544,8.9
E05001545,4.1
E05001546,8.2
E05001547,12.2
E05001548,9.3
E05001549,9.4
E05001550,7.3
E05001551,5.6
E05001552,5.2
E05010412,10.2
E05010413,7
E05010414,10.9
E05010415,3.6
E05010416,11.5
E05010417,9.2
E05010418,8.4
E05010419,5.2
E05010420,2.8
E05010421,4.6
E05010422,2.7
E05010423,9.3
E05010424,9.3
E05010425,10.3
E05010426,3.1
E05010427,8
E05010428,10.3
E05010429,5.6
E05010430,13.3
E05010431,5.2
E05009030,9.6
E05009031,9.1
E05009032,7.2
E05009033,12
E05009034,5.3
E05009035,4.1
E05009036,6.1
E05009037,8
E05009038,7.9
E05009039,6.3
E05009040,7.5
E05009041,7.9
E05009042,6.7
E05009043,5.5
E05009044,7.7
E05009045,5.3
E05009046,10.1
E05009047,7.2
E05009048,7.2
E05009049,12.4
E05009050,10.9
E05009051,7.7
E05009052,10.6
E05009053,8.3
E05009054,9.8
E05009055,8.8
E05009056,9
E05009057,10.3
E05009058,2.5
E05009059,7.9
E05009060,1.5
E05009061,6.9
E05009062,5.6
E05009063,8.5
E05009064,4.9
E05009065,10.7
E05009066,5.7
E05009067,6.9
E05009068,8
E05009069,10.5
E05009070,2.9
E05009071,3.6
E05009072,8.4
E05009073,7.1
E05009074,13.9
E05009075,12.4
E05009076,8.5
E05009077,6.4
E05009078,5.9
E05009079,6.8
E05009080,9.2
E05009081,9.9
E05009082,7.2
E05009083,9.8
E05009084,7.1
E05009085,9.5
E05009086,8.7
E05009087,9.5
E05009088,5.3
E05009089,9.5
E05009090,8.5
E05009091,11.1
E05009092,12.9
E05009093,4.7
E05009094,7.2
E05009095,2.7
E05009096,12.4
E05009097,3.4
E05009098,5.3
E05009099,10.5
E05009100,7.6
E05009101,3.8
E05009102,9.5
E05009103,6
E05009104,6.4
E05009106,3.9
E05009107,10
E05009108,9.4
E05009109,3.6
E05009110,11.3
E05009111,9.4
E05009112,7.6
E05009113,3.9
E05009114,4.7
E05009115,5.9
E05009116,8.7
E05009117,10.2
E05009118,5
E05009119,5.7
E05009120,5
E05009121,7.3
E05009122,3.9
E05009123,6.3
E05009124,7.5
E05009125,2.8
E05009126,14.1
E05009127,5.5
E05009128,3.9
E05009129,12.4
E05009130,9.6
E05009131,5
E05009132,3
E05009133,7.3
E05009134,5.8
E05009135,4.9
E05009136,6
E05009137,8.4
E05009139,3.3
E05009141,7.8
E05009142,3.2
E05009143,5.1
E05009144,1.6
E05009145,3.5
E05009146,7.1
E05009147,7
E05009148,3.2
E05009149,9.6
E05009151,4.1
E05009152,9.1
E05009153,4.4
E05009154,2.4
E05009155,5.2
E05009156,4.2
E05009157,6.1
E05009158,3.6
E05013270,12.2
E05013271,7.6
E05013862,6.1
E05013863,7.3
E05011436,6.4
E05011437,10.1
E05011438,11.6
E05011439,10.4
E05011440,8.8
E05011441,6.4
