mnemonic,all_households,owned_households,percent_owned
E05013038,3344,1857,55.5
E05013039,3401,1589,46.7
E05013040,2971,2379,80.1
E05013041,3735,2271,60.8
E05013042,3225,2463,76.4
E05013043,4046,1630,40.3
E05013044,3671,1422,38.7
E05013045,3356,1506,44.9
E05013046,2986,2661,89.1
E05013047,3127,2549,81.5
E05013048,3527,1945,55.1
E05013049,3542,1564,44.2
E05009853,2434,2010,82.6
E05009854,2461,1527,62
E05009855,3673,1407,38.3
E05009856,3784,1338,35.4
E05009857,4290,1090,25.4
E05009858,3788,2218,58.6
E05009859,2947,1198,40.7
E05009860,2207,1876,85
E05009861,2400,1519,63.3
E05009862,2552,1824,71.5
E05009863,4680,1856,39.7
E05009864,2619,2054,78.4
E05009865,2306,1983,86
E05009866,4563,1220,26.7
E05009867,1552,458,29.5
E05009868,2107,1937,91.9
E05009869,3819,2325,60.9
E05009870,3800,1635,43
E05009871,1586,1363,85.9
E05009872,2691,2299,85.4
E05012437,1991,1712,86
E05012438,3054,2057,67.4
E05012439,2404,1191,49.5
E05012440,2105,1072,50.9
E05012441,3495,1731,49.5
E05012442,2673,739,27.6
E05012443,3699,2103,56.9
E05012444,2893,2432,84.1
E05012445,3445,1662,48.2
E05012446,1114,654,58.7
E05012447,2838,1662,58.6
E05012448,1834,1518,82.8
E05012449,2210,1445,65.4
E05012450,2963,2140,72.2
E05012451,2909,2166,74.5
E05012452,3167,2385,75.3
E05012453,3114,2078,66.7
E05012454,1871,1284,68.6
E05012455,1998,1242,62.2
E05012456,2279,1178,51.7
E05012457,2793,2020,72.3
E05012458,2725,2163,79.4
E05012459,2078,1764,84.9
E05012460,1983,1456,73.4
E05001527,3193,1717,53.8
E05001528,2923,1493,51.1
E05001529,3784,3189,84.3
E05001530,2742,1543,56.3
E05001531,2369,2078,87.7
E05001532,2914,2267,77.8
E05001533,4598,3635,79.1
E05001534,2431,1969,81
E05001535,2643,2179,82.4
E05001536,3350,1318,39.3
E05001537,2744,2472,90.1
E05001538,4089,3369,82.4
E05001539,4788,4170,87.1
E05001540,4781,1857,38.8
E05001541,2943,1274,43.3
E05001542,1945,1695,87.1
E05001543,3006,1705,56.7
E05001544,3119,1887,60.5
E05001545,2826,2350,83.2
E05001546,3963,2087,52.7
E05001547,3040,1624,53.4
E05001548,2650,1535,57.9
E05001549,3564,1084,30.4
E05001550,2982,1945,65.2
E05001551,1487,1206,81.1
E05001552,4890,3762,76.9
E05010412,3348,1610,48.1
E05010413,2936,2064,70.3
E05010414,2875,1558,54.2
E05010415,1930,1472,76.3
E05010416,2699,1527,56.6
E05010417,2747,2141,77.9
E05010418,2827,1789,63.3
E05010419,1995,1632,81.8
E05010420,1615,1394,86.3
E05010421,1621,1311,80.9
E05010422,1763,1527,86.6
E05010423,3117,1491,47.8
E05010424,2056,713,34.7
E05010425,3588,1467,40.9
E05010426,1934,1485,76.8
E05010427,2964,1722,58.1
E05010428,1987,1149,57.8
E05010429,2886,2321,80.4
E05010430,2236,1008,45.1
E05010431,1797,1317,73.3
E05009030,3813,2070,54.3
E05009031,3767,2264,60.1
E05009032,4737,3366,71.1
E05009033,3553,1552,43.7
E05009034,3912,2512,64.2
E05009035,3785,2682,70.9
E05009036,6290,3819,60.7
E05009037,3631,2657,73.2
E05009038,3756,2541,67.7
E05009039,1747,1029,58.9
E05009040,3740,2399,64.1
E05009041,4836,2755,57
E05009042,3610,2564,71
E05009043,1685,1226,72.8
E05009044,1792,1229,68.6
E05009045,3368,2550,75.7
E05009046,3729,1844,49.5
E05009047,2184,1387,63.5
E05009048,3864,2200,56.9
E05009049,2316,1419,61.3
E05009050,2028,1081,53.3
E05009051,6035,3814,63.2
E05009052,3909,2182,55.8
E05009053,5676,3531,62.2
E05009054,3786,2195,58
E05009055,5941,3497,58.9
E05009056,3637,2512,69.1
E05009057,3147,1710,54.3
E05009058,678,599,88.3
E05009059,3584,2234,62.3
E05009060,2428,703,29
E05009061,3609,2427,67.2
E05009062,3762,2655,70.6
E05009063,5405,2895,53.6
E05009064,5994,4391,73.3
E05009065,3533,1783,50.5
E05009066,3495,2675,76.5
E05009067,4031,2748,68.2
E05009068,3290,2254,68.5
E05009069,3564,2060,57.8
E05009070,3378,2405,71.2
E05009071,1746,1532,87.7
E05009072,2052,1397,68.1
E05009073,5942,4120,69.3
E05009074,3430,1642,47.9
E05009075,3532,2069,58.6
E05009076,3458,2041,59
E05009077,2920,2250,77.1
E05009078,3701,2672,72.2
E05009079,3959,2616,66.1
E05009080,6373,3594,56.4
E05009081,4165,2521,60.5
E05009082,5243,3399,64.8
E05009083,4134,2009,48.6
E05009084,3583,2335,65.2
E05009085,2059,1281,62.2
E05009086,5778,3460,59.9
E05009087,4412,2638,59.8
E05009088,3753,2715,72.3
E05009089,3878,2585,66.7
E05009090,3982,2477,62.2
E05009091,1881,1179,62.7
E05009092,3752,1869,49.8
E05009093,5031,2986,59.4
E05009094,2376,1433,60.3
E05009095,1977,1565,79.2
E05009096,2301,1111,48.3
E05009097,2091,1337,63.9
E05009098,2376,1554,65.4
E05009099,2117,1103,52.1
E05009100,2000,1532,76.6
E05009101,1748,1106,63.3
E05009102,2202,1166,53
E05009103,2191,1299,59.3
E05009104,1809,1276,70.5
E05009106,1996,1456,72.9
E05009107,2095,1152,55
E05009108,2475,1197,48.4
E05009109,1927,1365,70.8
E05009110,1903,907,47.7
E05009111,2008,990,49.3
E05009112,2168,1587,73.2
E05009113,1893,1773,93.7
E05009114,2287,1719,75.2
E05009115,2022,1424,70.4
E05009116,3017,1841,61
E05009117,2139,903,42.2
E05009118,2527,1558,61.7
E05009119,2212,1386,62.7
E05009120,2222,1681,75.7
E05009121,1884,1403,74.5
E05009122,2000,1355,67.8
E05009123,2288,1300,56.8
E05009124,2002,1233,61.6
E05009125,1691,1451,85.8
E05009126,2360,912,38.6
E05009127,2483,1639,66
E05009128,1914,1185,61.9
E05009129,2145,860,40.1
E05009130,3050,1892,62
E05009131,2010,1457,72.5
E05009132,1929,1168,60.5
E05009133,2098,1466,69.9
E05009134,2420,1802,74.5
E05009135,2169,1629,75.1
E05009136,2245,1647,73.4
E05009137,2193,1248,56.9
E05009139,1996,1179,59.1
E05009141,1719,1237,72
E05009142,2171,1759,81
E05009143,2274,1748,76.9
E05009144,1738,1571,90.4
E05009145,1626,1248,76.8
E05009146,2233,1676,75.1
E05009147,2532,1448,57.2
E05009148,2360,1576,66.8
E05009149,2541,1691,66.5
E05009151,2430,1865,76.7
E05009152,2020,1051,52
E05009153,2025,1812,89.5
E05009154,2084,1505,72.2
E05009155,2124,1625,76.5
E05009156,2100,1725,82.1
E05009157,2620,1617,61.7
E05009158,2157,1148,53.2
E05013270,2372,1282,54
E05013271,2886,1702,59
E05013862,2293,1521,66.3
E05013863,2615,1746,66.8
E05011436,3630,566,15.6
E05011437,5531,2772,50.1
E05011438,4837,1884,38.9
E05011439,5864,1287,21.9
E05011440,4748,2841,59.8
E05011441,5847,4359,74.6
E05011442,4231,3763,88.9
E05011443,4040,3004,74.4
