mnemonic,unemployed
E05013038,4.6
E05013039,4.8
E05013040,2.4
E05013041,4.5
E05013042,2.2
E05013043,5.5
E05013044,4.7
E05013045,4.3
E05013046,2.3
E05013047,2.4
E05013048,4
E05013049,6.2
E05009853,3.3
E05009854,4.6
E05009855,5.5
E05009856,6.2
E05009857,10.2
E05009858,3.2
E05009859,5.2
E05009860,2.9
E05009861,4.5
E05009862,3.6
E05009863,4.7
E05009864,2.5
E05009865,1.8
E05009866,9.8
E05009867,9.4
E05009868,2.4
E05009869,4.8
E05009870,5.5
E05009871,2
E05009872,2.5
E05012437,1.6
E05012438,3.6
E05012439,5.4
E05012440,3.9
E05012441,4.7
E05012442,7.4
E05012443,3.9
E05012444,2.2
E05012445,4.1
E05012446,4.1
E05012447,3.6
E05012448,3.1
E05012449,3.5
E05012450,3.4
E05012451,2.7
E05012452,2.3
E05012453,2.6
E05012454,2.7
E05012455,3.4
E05012456,5.3
E05012457,3.7
E05012458,3.2
E05012459,2.3
E05012460,3.1
E05001527,4
E05001528,4.4
E05001529,2.4
E05001530,3.6
E05001531,2.3
E05001532,2.5
E05001533,2.5
E05001534,2.8
E05001535,2.4
E05001536,5.5
E05001537,2.1
E05001538,2.5
E05001539,2.3
E05001540,5.6
E05001541,6.3
E05001542,2.2
E05001543,4.8
E05001544,4.3
E05001545,2.2
E05001546,5.8
E05001547,5.8
E05001548,3.7
E05001549,7.5
E05001550,3.9
E05001551,3.2
E05001552,2.5
E05010412,4.9
E05010413,2.7
E05010414,4.1
E05010415,2.6
E05010416,4.2
E05010417,2.7
E05010418,2.8
E05010419,1.6
E05010420,1.8
E05010421,1.7
E05010422,1.4
E05010423,5
E05010424,6
E05010425,6
E05010426,1.8
E05010427,4.2
E05010428,3.8
E05010429,2.2
E05010430,4
E05010431,2.6
E05009030,3.5
E05009031,3.3
E05009032,2.4
E05009033,3.8
E05009034,2.2
E05009035,2.2
E05009036,2.9
E05009037,2.4
E05009038,2.8
E05009039,2.5
E05009040,3.1
E05009041,3.3
E05009042,2.9
E05009043,2.2
E05009044,1.8
E05009045,2.6
E05009046,3.5
E05009047,2.9
E05009048,3.5
E05009049,3.7
E05009050,4.4
E05009051,2.9
E05009052,4.5
E05009053,3.1
E05009054,3.7
E05009055,3.1
E05009056,3.4
E05009057,3.2
E05009058,1.9
E05009059,3.4
E05009060,3.6
E05009061,2.7
E05009062,2.4
E05009063,3.5
E05009064,2
E05009065,5
E05009066,2.3
E05009067,2.6
E05009068,2.9
E05009069,3.1
E05009070,3.6
E05009071,1.4
E05009072,3.1
E05009073,2.7
E05009074,3.8
E05009075,4
E05009076,3.6
E05009077,2
E05009078,2.1
E05009079,2.8
E05009080,4
E05009081,3
E05009082,2.8
E05009083,4.2
E05009084,3.3
E05009085,3.8
E05009086,3.1
E05009087,2.4
E05009088,1.7
E05009089,2.8
E05009090,3.3
E05009091,2.7
E05009092,3.6
E05009093,2.8
E05009094,3.5
E05009095,1.9
E05009096,4.8
E05009097,2.3
E05009098,2.5
E05009099,4
E05009100,2.3
E05009101,1.2
E05009102,3.8
E05009103,2.8
E05009104,2.2
E05009106,2.5
E05009107,4.6
E05009108,4.8
E05009109,1.6
E05009110,4.8
E05009111,6.1
E05009112,3.3
E05009113,2
E05009114,2.2
E05009115,2.6
E05009116,3.6
E05009117,5.4
E05009118,3.2
E05009119,2.4
E05009120,2.4
E05009121,2.5
E05009122,2.1
E05009123,2.9
E05009124,2.1
E05009125,1.6
E05009126,6.3
E05009127,3.2
E05009128,1.8
E05009129,4.5
E05009130,4.1
E05009131,1.5
E05009132,2.5
E05009133,2.8
E05009134,2.7
E05009135,2.2
E05009136,2.4
E05009137,3.9
E05009139,2.6
E05009141,2.7
E05009142,1.4
E05009143,2
E05009144,1.6
E05009145,1.6
E05009146,2.2
E05009147,2.7
E05009148,2.6
E05009149,3.8
E05009151,2
E05009152,3.8
E05009153,1.4
E05009154,1.9
E05009155,2.9
E05009156,1.8
E05009157,3.3
E05009158,2.3
E05013270,4.7
E05013271,3.8
E05013862,2.6
E05013863,2.3
E05011436,8.3
E05011437,4
E05011438,4.4
E05011439,6.5
E05011440,2.9
E05011441,2.5
E05011442,2
E05011443,2.6
E05011444,3.6
E05011445,7.1
E05011446,3.1
E05011447,2.1
E05011448,4.6
E05011449,4.9
E05011450,3.6
E05011451,3.5
E05011452,2.9
E05011453,8.1
E05011454,5.4
E05011455,9.7
E05011456,2.2
E05011457,5.5
E05011458,5.5
E05011459,4.1
E05011460,4
E05011461,5.3
E05001115,3.3
E05001116,2.8
E05001117,3.1
