WD22CD,WD22NM,Inner_Lon,FireCount,all_residents,FireRate,all_households,owned_households,percent_owned,percent_deprived,percent_crowded,percent_nonwhite,percent_fuel,percent_1parent,unemployed,percent_deprived3
E05009317,Bethnal Green,1,94.0,21090.0,4.457,7251,1682,23.2,60.2,25.9,59.4,3.2,7.9,6.7,7.5
E05009318,Blackwall & Cubitt Town,1,97.0,21426.0,4.527,9509,2261,23.8,44.3,21.3,58.2,3.7,5.2,6.4,4.2
E05009319,Bow East,1,93.0,19526.0,4.763,8412,2369,28.2,49.8,16.4,46.5,3.3,7.3,5.7,5.8
E05009320,Bow West,1,52.0,13711.0,3.793,5276,1666,31.6,54.8,18.8,47.0,2.2,5.7,4.4,6.0
E05009321,Bromley North,1,84.0,11702.0,7.178,4524,969,21.4,59.6,25.8,68.8,3.0,8.8,6.8,8.4
E05009322,Bromley South,1,68.0,13964.0,4.87,5047,1001,19.8,57.4,27.3,70.3,2.4,8.9,6.7,7.6
E05009323,Canary Wharf,1,80.0,17976.0,4.45,8556,1793,21.0,41.6,18.2,58.4,4.1,5.4,5.2,3.6
E05009324,Island Gardens,1,47.0,15307.0,3.07,6139,1782,29.0,49.3,16.2,50.3,4.2,6.1,6.1,3.9
E05009325,Lansbury,1,115.0,21707.0,5.298,7529,1489,19.8,60.1,26.9,68.0,2.6,10.2,6.1,8.2
E05009326,Limehouse,1,28.0,6555.0,4.272,2927,972,33.2,42.1,14.2,44.2,4.8,3.2,4.1,3.9
E05009327,Mile End,1,114.0,21652.0,5.265,7803,1737,22.3,57.1,25.6,66.1,2.5,8.0,6.6,6.8
E05009328,Poplar,1,38.0,8069.0,4.709,2861,510,17.8,62.3,30.4,74.3,2.8,9.9,7.3,8.1
E05009329,St Dunstan's,1,71.0,14747.0,4.815,4840,851,17.6,62.6,27.8,72.9,2.1,8.4,6.3,9.5
E05009330,St Katharine's & Wapping,1,43.0,11961.0,3.595,5797,2032,35.1,39.2,14.0,37.9,4.0,2.8,4.2,2.5
E05009331,St Peter's,1,98.0,19779.0,4.955,7413,1583,21.4,57.0,23.5,57.8,3.3,5.2,6.0,8.2
E05009332,Shadwell,1,78.0,13278.0,5.874,4492,803,17.9,65.4,28.9,75.1,3.4,7.2,6.6,9.0
E05009333,Spitalfields & Banglatown,1,79.0,13340.0,5.922,5058,1050,20.8,54.4,23.8,64.3,3.7,4.2,6.8,7.0
E05009334,Stepney Green,1,84.0,12343.0,6.805,4259,889,20.9,67.7,29.3,70.9,2.6,6.9,6.1,8.6
E05009335,Weavers,1,99.0,13339.0,7.422,5468,1215,22.2,54.4,21.4,53.6,2.9,6.4,5.7,7.2
