IncidentNumber,CalYear,PropertyCategory,IncGeo_WardCode,IncGeo_WardNameNew,Easting_rounded,Northing_rounded,IncidentStationGround
000048-01012018,2018,Dwelling,E05013663,Kentish Town North,529150,185450,Kentish Town
000120-01012018,2018,Dwelling,E05011469,Kenley,532050,158650,Purley
000139-01012018,2018,Dwelling,E05009392,COLVILLE,524450,181350,North Kensington
000177-01012018,2018,Dwelling,E05013731,Sydenham,535950,171750,Forest Hill
000201-01012018,2018,Dwelling,E05009381,LONDON FIELDS,534950,184350,Homerton
000207-01012018,2018,Dwelling,E05013581,West Drayton,507150,179550,Hayes
000244-01012018,2018,Dwelling,E05013886,Endlebury,537450,194350,Chingford
000257-01012018,2018,Dwelling,E05011105,Newington,531850,178650,Old Kent Road
000258-01012018,2018,Other Residential,E05013653,Bloomsbury,530250,181950,Soho
000279-01012018,2018,Dwelling,E05013776,Fulwell & Hampton Hill,515050,171650,Twickenham
000287-01012018,2018,Dwelling,E05014077,Eltham Page,541550,175650,Lee Green
000304-01012018,2018,Dwelling,E05013994,Clock House,536050,169750,Beckenham
000321-01012018,2018,Dwelling,E05011255,Wanstead Village,541050,189250,Leytonstone
000349-01012018,2018,Dwelling,E05013809,Westbourne,525850,182050,Paddington
000369-01012018,2018,Dwelling,E05014057,Becontree,547050,186750,Dagenham
000372-01012018,2018,Dwelling,E05013592,Highgate,528850,187650,Hornsey
000391-01012018,2018,Other Residential,E05013697,Arsenal,531150,185250,Holloway
000446-01012018,2018,Dwelling,E05013621,Hounslow East,514550,175550,Heston
000448-01012018,2018,Other Residential,E05013664,Kentish Town South,529350,184450,Kentish Town
000459-01012018,2018,Dwelling,E05013911,Forest Gate North,540450,185850,Stratford
000528-01012018,2018,Dwelling,E05013630,Burnt Oak,520250,190850,Mill Hill
000535-02012018,2018,Dwelling,E05013502,Kenton,517750,187850,Stanmore
000549-02012018,2018,Dwelling,E05013719,Deptford,537450,177150,Deptford
000564-02012018,2018,Dwelling,E05013701,Canonbury,532650,184150,Islington
000706-02012018,2018,Dwelling,E05009325,Lansbury,537750,181450,Poplar
000712-02012018,2018,Dwelling,E05011253,Valentines,543250,186650,Ilford
000728-02012018,2018,Dwelling,E05014026,Wandle,526150,173550,Wandsworth
000733-02012018,2018,Dwelling,E05014112,Streatham Common & Vale,530450,170250,Norbury
000755-02012018,2018,Dwelling,E05013542,Belmont,516250,190650,Stanmore
000773-02012018,2018,Dwelling,E05014098,Brixton Windrush,531350,175650,Brixton
000787-02012018,2018,Dwelling,E05013543,Canons,518150,192550,Stanmore
000790-02012018,2018,Other Residential,E05014110,Stockwell East,530550,176250,Brixton
000792-02012018,2018,Dwelling,E05009323,Canary Wharf,537650,179550,Millwall
000824-02012018,2018,Dwelling,E05013501,Harlesden & Kensal Green,521850,183050,Park Royal
000826-02012018,2018,Dwelling,E05014003,Petts Wood & Knoll,545850,165950,Orpington
000865-02012018,2018,Dwelling,E05009386,VICTORIA,535850,183850,Homerton
000886-02012018,2018,Dwelling,E05013503,Kilburn,525250,183350,Paddington
000913-02012018,2018,Dwelling,E05013743,Munster,524350,177050,Fulham
000956-03012018,2018,Dwelling,E05013673,Bowes,532450,192250,Edmonton
001048-03012018,2018,Dwelling,E05014028,Wandsworth Town,526050,174650,Wandsworth
001059-03012018,2018,Dwelling,E05013598,Seven Sisters,532850,188950,Tottenham
001110-03012018,2018,Dwelling,E05013765,Sutton Central,526550,164150,Sutton
001133-03012018,2018,Dwelling,E05011488,West Thornton,531450,167550,Norbury
001137-03012018,2018,Dwelling,E05013750,Wendell Park,522250,179450,Hammersmith
001167-03012018,2018,Dwelling,E05013631,Childs Hill,525250,187250,West Hampstead
001174-03012018,2018,Dwelling,E05013554,North Harrow,513650,189050,Harrow
001185-03012018,2018,Dwelling,E05013706,Holloway,530750,185150,Holloway
001193-03012018,2018,Dwelling,E05013994,Clock House,535250,169050,Beckenham
001205-03012018,2018,Dwelling,E05013999,Kelsey & Eden Park,536650,167750,Beckenham
001229-03012018,2018,Dwelling,E05014102,Clapham Town,529650,175850,Clapham
001234-03012018,2018,Dwelling,E05009387,WOODBERRY DOWN,532850,187850,Stoke Newington
001257-03012018,2018,Dwelling,E05013798,Lancaster Gate,526150,181350,Paddington
001303-03012018,2018,Dwelling,E05013551,Kenton East,517450,189450,Stanmore
001350-03012018,2018,Dwelling,E05013549,Hatch End,513350,191350,Harrow
001361-03012018,2018,Dwelling,E05011486,Thornton Heath,532750,168250,Norbury
001384-04012018,2018,Other Residential,E05013662,Holborn & Covent Garden,530650,182250,Euston
001406-04012018,2018,Dwelling,E05014007,St. Paul's Cray,546250,168550,Orpington
001409-04012018,2018,Dwelling,E05013941,Norbiton,519150,169550,Kingston
001412-04012018,2018,Other Residential,E05009336,Whitechapel,534750,181450,Whitechapel
001437-04012018,2018,Dwelling,E05014009,Balham,528850,174050,Clapham
001457-04012018,2018,Dwelling,E05009396,GOLBORNE,524150,182350,North Kensington
001494-04012018,2018,Dwelling,E05013805,Regent's Park,527950,182050,Paddington
001507-04012018,2018,Dwelling,E05014011,East Putney,524550,174950,Wandsworth
001545-04012018,2018,Dwelling,E05013679,Edmonton Green,535050,192550,Edmonton
001600-04012018,2018,Dwelling,E05013509,Roundwood,521450,184950,Willesden
001623-04012018,2018,Dwelling,E05013660,Haverstock,527650,184850,Kentish Town
001727-04012018,2018,Dwelling,E05013510,Stonebridge,520950,184250,Park Royal
001740-04012018,2018,Dwelling,E05013918,Plaistow North,540350,183950,Stratford
001755-04012018,2018,Dwelling,E05011106,North Bermondsey,534150,179450,Dockhead
001866-05012018,2018,Dwelling,E05014061,Gascoigne,544650,183350,Barking
001871-05012018,2018,Other Residential,E05014117,Vauxhall,530550,178650,Lambeth
001940-05012018,2018,Dwelling,E05013631,Childs Hill,525350,186350,West Hampstead
001948-05012018,2018,Dwelling,E05013499,Cricklewood & Mapesbury,523650,185450,Willesden
001983-05012018,2018,Dwelling,E05013797,Knightsbridge & Belgravia,528250,178850,Chelsea
002068-05012018,2018,Dwelling,E05014096,Brixton North,531150,176250,Brixton
002117-05012018,2018,Dwelling,E05013497,Barnhill,520350,186450,Wembley
002199-06012018,2018,Dwelling,E05014079,Eltham Town & Avery Hill,544950,173850,Eltham
002232-06012018,2018,Dwelling,E05014106,Knight's Hill,531750,172350,West Norwood
002241-06012018,2018,Dwelling,E05013911,Forest Gate North,539850,185350,Stratford
002261-06012018,2018,Other Residential,E05013808,West End,528350,180350,Soho
002266-06012018,2018,Other Residential,E05013666,King's Cross,530150,183850,Euston
002269-06012018,2018,Dwelling,E05013818,Longthornton,529650,169650,Norbury
002353-06012018,2018,Dwelling,E05013800,Maida Vale,525550,182650,Paddington
002357-06012018,2018,Dwelling,E05013999,Kelsey & Eden Park,538050,167750,Beckenham
002380-06012018,2018,Dwelling,E05013603,West Green,532750,189850,Tottenham
002387-06012018,2018,Dwelling,E05013894,Larkswood,537650,192550,Chingford
002399-06012018,2018,Dwelling,E05013515,Wembley Hill,518450,186050,Wembley
002427-06012018,2018,Other Residential,E05013999,Kelsey & Eden Park,536250,167950,Woodside
002452-06012018,2018,Dwelling,E05009331,St. Peter's,534750,183050,Bethnal Green
002494-06012018,2018,Dwelling,E05013736,College Park & Old Oak,521750,181450,Acton
002521-06012018,2018,Dwelling,E05013801,Marylebone,527850,181350,Paddington
002527-06012018,2018,Dwelling,E05013919,Plaistow South,540850,181950,Plaistow
002529-06012018,2018,Dwelling,E05013825,Village,522950,170250,Wimbledon
002666-07012018,2018,Dwelling,E05013924,Stratford,539350,184550,Stratford
002668-07012018,2018,Dwelling,E05013593,Hornsey,529550,189050,Hornsey
002757-07012018,2018,Other Residential,E05009389,BROMPTON & HANS TOWN,527750,179450,Chelsea
002767-07012018,2018,Dwelling,E05013702,Clerkenwell,531150,182550,Islington
002786-07012018,2018,Dwelling,E05013931,Chessington South & Malden Rushett,517850,163750,Surbiton
002902-07012018,2018,Dwelling,E05013583,Yeading,511550,181650,Southall
002911-07012018,2018,Dwelling,E05014102,Clapham Town,529050,176150,Clapham
002950-07012018,2018,Dwelling,E05013917,Maryland,538750,185450,Stratford
002984-08012018,2018,Dwelling,E05011252,South Woodford,540350,190250,Woodford
003003-08012018,2018,Other Residential,E05009317,Bethnal Green,535450,182050,Bethnal Green
003020-08012018,2018,Dwelling,E05011219,Bexleyheath,549550,175650,Bexley
003042-08012018,2018,Dwelling,E05013598,Seven Sisters,533350,188050,Tottenham
003048-08012018,2018,Dwelling,E05013938,Kingston Town,517950,168350,Surbiton
003071-08012018,2018,Dwelling,E05013938,Kingston Town,518450,168750,Surbiton
003119-08012018,2018,Dwelling,E05011489,Woodside,534250,168250,Woodside
003144-08012018,2018,Dwelling,E05013690,Ridgeway,531550,197750,Enfield
003151-08012018,2018,Dwelling,E05013774,Barnes,522350,177750,Hammersmith
003180-08012018,2018,Dwelling,E05009381,LONDON FIELDS,533650,184450,Shoreditch
003215-08012018,2018,Dwelling,E05013821,Pollards Hill,528650,168750,Mitcham
003219-08012018,2018,Dwelling,E05014097,Brixton Rush Common,531050,174050,Brixton
003245-08012018,2018,Dwelling,E05009383,SPRINGFIELD,534350,187650,Stoke Newington
003261-08012018,2018,Dwelling,E05014028,Wandsworth Town,525550,174450,Wandsworth
003267-08012018,2018,Dwelling,E05013814,Figge's Marsh,528250,169650,Mitcham
003303-08012018,2018,Dwelling,E05014084,Kidbrooke Village & Sutcliffe,540650,174950,Lee Green
003307-08012018,2018,Other Residential,E05013608,Brentford West,517250,178150,Ealing
